artist,author,gernes,heart,name,star,view,words
Dmaxcustom,Exterminatus,"Action,Adult,Adventure,Drama,Ecchi,Fantasy,Gender Bender,Horror,Mecha,Mystery,Psychological,Romance,Shoujo ai,Super Power,Suspense,Tragedy,Web Novel,English Novel,Magic", 435 ,Everybody Loves Large Chests! (Web Novel),4.4,205067,172321
Ririnra,Roy,"Action,Fantasy,Martial Arts,Shounen,Slice of Life", 318 ,Kamitachi ni Hirowareta Otoko (Kaiteiban),4.8,56838,57613
カット,Fukakutei Waon,"Adventure,Comedy,Ecchi,Fantasy,Romance,Slice of Life,Supernatural", 226 ,"On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons",5,35948,34524
Takamine Nadare,Mishima Yomu,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Magic,Mecha,Military,Science Fiction,Shounen,Super Power,Web Novel,School Life", 932 ,I’m the Evil Lord of an Intergalactic Empire!,4.9,140526,31132
N/A,Vô Chủ Chi Kiếm,"Action,Adventure,Chinese Novel,Drama,Fantasy,Magic,Mystery,Romance,Supernatural,Isekai,Military,Web Novel", 222 ,Kingdom's Bloodline,4.9,65093,101495
Luna Lia,Miki Nazuna(三木なずな),"Action,Adventure,Comedy,Ecchi,Harem,Isekai,Magic,Martial Arts,Mystery,Romance,Slice of Life,Adapted to Manga,Web Novel", 313 ,Kujibiki Tokushou: Musou Haremu Ken,4.6,51307,2388
nauribon,"合田拍子(Aida Rhythm, Aida Byoushi)","Action,Comedy,Fantasy,Isekai,Magic,School Life,Shounen,Web Novel,Romance", 480 ,"Buta Koushaku ni Tensei Shita kara, Kondo wa Kimi ni Suki to Iitai",5,101988,24393
Sumaki Shungo,Tomoto Sui,"Action,Fantasy,Harem", 4114 ,Konjiki no Word Master,4.9,2791462,551558
Amami Fujina,Hoshino Mayo,"Romance,One shot", 57 ,Cám dỗ của Thần Chết,5,35265,1006
Mikuni Kohma,Tohno Konoe,"Fantasy,Harem,Romance,Shoujo,Slice of Life,Web Novel", 423 ,I Decided to Not Compete and Quietly Create Dolls Instead,4.6,72213,30511
N/A,理不尽な孫の手,"Science Fiction,Supernatural,Web Novel,One shot,Mystery", 57 ,Chưa Ăn Top Đầu Syosetu Thì Đừng Mơ Thoát Khỏi Căn Phòng Này,4.5,14112,14041
Fukahire,Amano Seiju,"Adventure,Comedy,Fantasy,School Life,Web Novel", 275 ,Juu Sai no Saikyou Madoushi,4.9,38323,30109
N/A,トマホーク,"Action,Adventure,Ecchi,Fantasy,Harem,Isekai,Romance,Web Novel,Adult,Military,Historical", 721 ,Modern Weapons Cheat in Another World,4.8,127681,43448
N/A,Yeong Biram (영비람),"Action,Fantasy,Game,Korean Novel", 82 ,Ranker's Return,4.5,12873,6902
Aoi Fuyuko,Jupiter (Ichijinsha Iris NEO),"Drama,Historical,Romance,Shoujo,Web Novel", 99 ,Hoa hồng dâng tặng em,4.9,14388,21599
Asahina Hikage,Parent Rows Calyx,"Action,Adult,Adventure,Comedy,Ecchi,Game,Harem,Mature,Romance,Seinen,Web Novel", 249 ,Neta Chara,4.9,17221,3697
N/A,Jee Gab Song,"Action,Adventure,Drama,Harem,Korean Novel,Mystery,Seinen,Supernatural", 99 ,A Monster Who Levels Up,4.6,19648,11274
Satoyasu,Kawakami Minoru,"Action,Comedy,Ecchi,Magic,Mystery,Romance,Science Fiction,Super Power,Tragedy", 91 ,Owari no Chronicle,5,20890,167702
"Kinta, キンタ",kiki,"Action,Adventure,Drama,Fantasy,Horror,Mature,Shoujo ai,Tragedy", 357 ,"""Omae Gotoki ga Maou ni Kateru to Omou na"" to Gachizei ni Yuusha Party wo Tsuihou Sareta node, Outo de Kimama ni Kurashitai",5,72910,54626
PETER C. LEE,"CHRIS METZEN, MATT BURNS, và ROBERT BROOKS","Action,Adventure,Drama,Fantasy,Super Power,Supernatural,Tragedy,Mystery,English Novel,Game,Magic,Mature", 262 ,World of Warcraft,4.8,197017,1151285
Fuzi Choco,Ononata Manimani; 斧名田マニマニ,"Adventure,Comedy,Drama,Fantasy,Slice of Life,Web Novel", 158 ,"Boukensha License o Hakudatsu Sareta Ossan Dakedo, Manamusume ga Dekita no de Nonbiri Jinsei o Oka Suru",4.7,18559,31252
돼지케이크,산소비,"Drama,Fantasy,Korean Novel,Romance,Shoujo,Web Novel", 136 ,Ác Nữ Phản Diện Đảo Ngược Đồng Hồ Cát,4.6,17381,4944
Shin Sora,Kizuka Nero; 木塚ネロ,"Action,Adult,Drama,Horror,Isekai,Tragedy,Psychological,Adventure", 331 ,Nidome no Yuusha,4.9,30116,39335
N/A,Soy.,"Comedy,Fantasy,Romance,Web Novel", 259 ,"Mochiron, Isharyōseikyū Itashimasu!",4.8,33198,32941
Fuumi; ふーみ,Chatsufusa; ちゃつふさ,"Action,Adventure,Comedy,Fantasy,Isekai,Shoujo,Adapted to Manga", 503 ,Douyara Watashi No Karada Wa Kanzen Muteki No You Desu Ne,4.8,58133,23957
N/A,Asana Yuuna; 浅名ゆうな,"Comedy,Otome Game,Romance,School Life,Slice of Life,Web Novel", 193 ,"A Villainess? No, a Heinous Young Lady",5,18439,2117
Kakao Lanthanum,Kage Take,"Action,Adventure,Fantasy,Romance", 1438 ,"Party Kara Tsuihou Sa Reta Sono Chiyu-shi, Jitsu wa Saikyou ni Tsuki",4.8,312377,75022
Ayakura Juu,WATANABE Tsunehiko,"Action,Adventure,Comedy,Drama,Fantasy,Mature,Romance,Seinen,Slice of Life", 346 ,Risou no Himo Seikatsu,4.9,58620,134157
